users_program,user_id,zip,membership_type,bike,checkout_date,checkout_time,checkout_kiosk,return_date,return_time,return_kiosk,duration_minutes
37759,Denver B-cycle,887321,80204.0,Annual Plus (Denver B-cycle),609,10/25/15,3:58:00 PM,22nd & Pennsylvania,10/25/15,4:28:00 PM,Five Points,30
38083,Denver B-cycle,1015859,56716.0,24-hour Kiosk Only (Denver B-cycle),552,10/25/15,1:24:00 PM,1st & Broadway,10/25/15,5:38:00 PM,15th & Curtis,254
38094,Denver B-cycle,645164,80211.0,24-hour Kiosk Only (Denver B-cycle),763,10/25/15,1:20:00 PM,32nd & Pecos,10/25/15,2:17:00 PM,Louisiana & Franklin,57
38102,Denver B-cycle,1015836,80126.0,24-hour Kiosk Only (Denver B-cycle),405,10/25/15,1:13:00 PM,19th & Wynkoop,10/25/15,1:18:00 PM,20th & Chestnut,5
38140,Denver B-cycle,1015742,2043.0,24-hour Kiosk Only (Denver B-cycle),635,10/25/15,1:01:00 PM,Denver Museum of Nature & Science,10/25/15,1:13:00 PM,Colfax & Steele,12
38415,Denver B-cycle,1015347,80222.0,24-hour Kiosk Only (Denver B-cycle),619,10/24/15,10:55:00 PM,Five Points,10/24/15,11:09:00 PM,14th & Stout,14
38927,Denver B-cycle,896007,80211.0,24-hour Kiosk Only (Denver B-cycle),401,10/24/15,3:06:00 PM,16th & Boulder,10/24/15,3:31:00 PM,32nd & Julian,25
39145,Denver B-cycle,1014685,64086.0,24-hour Kiosk Only (Denver B-cycle),93,10/24/15,1:31:00 PM,22nd & Market,10/25/15,4:55:00 AM,14th & Stout,924
39783,Denver B-cycle,584772,80214.0,Annual (Denver B-cycle),11,10/23/15,5:48:00 PM,13th & Speer,10/23/15,6:03:00 PM,Decatur Federal Light Rail,15
40243,Denver B-cycle,935178,80205.0,Annual (Denver B-cycle),679,10/23/15,12:15:00 PM,17th & Larimer,10/23/15,12:25:00 PM,33rd & Arapahoe,10
40379,Denver B-cycle,1013688,16403.0,24-hour Kiosk Only (Denver B-cycle),151,10/23/15,9:40:00 AM,16th & Broadway,10/23/15,10:04:00 AM,Denver Zoo,24
41471,Boulder B-cycle,102224,80301.0,Annual (Boulder B-cycle),638,10/20/15,7:31:00 PM,17th & Blake,10/20/15,7:39:00 PM,14th & Welton,8
41484,Denver B-cycle,50290,80205.0,30-day Renewing (Denver B-cycle),336,10/20/15,7:12:00 PM,17th & Pearl,10/20/15,7:20:00 PM,25th & Lawrence,8
41587,Denver B-cycle,975965,80232.0,Annual Plus (Denver B-cycle),423,10/20/15,6:02:00 PM,17th & Larimer,10/20/15,6:08:00 PM,25th & Lawrence,6
41995,Denver B-cycle,1010630,6755.0,30-day Renewing (Denver B-cycle),630,10/20/15,2:14:00 PM,Denver Zoo,10/20/15,2:44:00 PM,17th & Pearl,30
42081,Denver B-cycle,1011757,92102.0,24-hour Kiosk Only (Denver B-cycle),713,10/20/15,1:01:00 PM,Five Points,10/20/15,1:27:00 PM,1551 Lafayette,26
42094,Denver B-cycle,880684,80205.0,Annual Plus (Denver B-cycle),340,10/20/15,12:47:00 PM,19th & Wynkoop,10/20/15,1:03:00 PM,22nd & Market,16
42125,Denver B-cycle,244300,80303.0,Annual (Denver B-cycle),198,10/20/15,12:20:00 PM,19th & Pearl,10/20/15,12:30:00 PM,11th & Broadway,10
42938,Denver B-cycle,974806,80202.0,Annual Plus (Denver B-cycle),448,10/19/15,5:20:00 PM,16th & Platte,10/19/15,5:29:00 PM,15th & Curtis,9
43854,Boulder B-cycle,831122,80218.0,Annual (Boulder B-cycle),672,10/19/15,6:32:00 AM,14th & Ogden,10/19/15,6:46:00 AM,Union Station Light Rail at 17th,14
44099,Denver B-cycle,1009544,92663.0,24-hour Kiosk Only (Denver B-cycle),354,10/18/15,4:15:00 PM,Cherry Creek Mall,10/18/15,4:36:00 PM,11th & Delaware,21
44119,Denver B-cycle,799278,80209.0,Annual Plus (Denver B-cycle),836,10/18/15,4:02:00 PM,Bayaud & Emerson,10/18/15,4:45:00 PM,Ellsworth & Madison,43
45756,Denver B-cycle,1006954,80206.0,24-hour Kiosk Only (Denver B-cycle),26,10/17/15,2:45:00 PM,Broadway & Walnut,10/17/15,2:59:00 PM,Five Points,14
46308,Denver B-cycle,667391,80205.0,Annual Plus (Denver B-cycle),344,10/17/15,10:40:00 AM,10th & Osage,10/17/15,11:01:00 AM,10th & Osage,21
46369,Denver B-cycle,999911,80218.0,24-hour Kiosk Only (Denver B-cycle),188,10/17/15,10:03:00 AM,17th & Downing,10/17/15,10:13:00 AM,14th & Welton,10
46629,Denver B-cycle,1005826,3031.0,24-hour Kiosk Only (Denver B-cycle),373,10/16/15,7:55:00 PM,28th & Larimer,10/17/15,4:55:00 AM,18th & Arapahoe,540
46901,Denver B-cycle,458315,80218.0,Annual (Denver B-cycle),638,10/16/15,5:19:00 PM,DU Driscoll Center,10/16/15,5:43:00 PM,1551 Lafayette,24
46963,Denver B-cycle,326028,80206.0,Annual (Denver B-cycle),66,10/16/15,5:00:00 PM,9th & Curtis,10/16/15,5:08:00 PM,15th & Curtis,8
47171,Denver B-cycle,934739,80503.0,24-hour Kiosk Only (Denver B-cycle),906,10/16/15,3:28:00 PM,18th & Arapahoe,10/16/15,3:47:00 PM,14th & Ogden,19
47314,Denver B-cycle,1005555,94025.0,24-hour Kiosk Only (Denver B-cycle),244,10/16/15,2:17:00 PM,REI,10/16/15,2:48:00 PM,17th & Race,31
47800,Denver B-cycle,658732,80202.0,Annual (Denver B-cycle),579,10/16/15,7:49:00 AM,20th & Chestnut,10/16/15,7:56:00 AM,Pepsi Center,7
48145,Denver B-cycle,384284,80203.0,Annual (Denver B-cycle),224,10/15/15,6:03:00 PM,14th & Welton,10/15/15,6:14:00 PM,22nd & Pennsylvania,11
48370,Denver B-cycle,918293,80204.0,Annual (Denver B-cycle),550,10/15/15,4:47:00 PM,1350 Larimer,10/15/15,4:56:00 PM,13th & Speer,9
48520,Denver B-cycle,550856,80503.0,Annual (Denver B-cycle),16,10/15/15,3:18:00 PM,Cherry Creek Mall,10/15/15,3:26:00 PM,3rd & Milwaukee,8
50586,Denver B-cycle,641715,80219.0,24-hour Kiosk Only (Denver B-cycle),679,10/13/15,10:04:00 PM,Cherry Creek Mall,10/13/15,10:40:00 PM,4th & Walnut,36
51343,Denver B-cycle,667391,80205.0,Annual Plus (Denver B-cycle),671,10/13/15,12:54:00 PM,10th & Osage,10/13/15,1:18:00 PM,10th & Osage,24
51615,Denver B-cycle,287465,80211.0,Annual (Denver B-cycle),338,10/13/15,8:34:00 AM,17th & Tejon,10/13/15,8:45:00 AM,16th & Little Raven,11
52096,Denver B-cycle,1000359,19040.0,24-hour Kiosk Only (Denver B-cycle),539,10/12/15,6:08:00 PM,Denver Health,10/12/15,6:30:00 PM,Cherry Creek Mall,22
52181,Denver B-cycle,817980,80108.0,Annual (Denver B-cycle),731,10/12/15,5:36:00 PM,12th & Sherman,10/12/15,5:46:00 PM,11th & Emerson,10
52215,Denver B-cycle,1002075,44095.0,24-hour Kiosk Only (Denver B-cycle),793,10/12/15,5:24:00 PM,16th & Little Raven,10/12/15,5:45:00 PM,19th & Market,21
53114,Denver B-cycle,672252,80203.0,30-day Renewing (Denver B-cycle),199,10/12/15,7:39:00 AM,17th & Tejon,10/12/15,7:49:00 AM,16th & Little Raven,10
